tenpai,real,agari,score,tenpai,real,agari,score,tenpai,real,agari,score,tenpai,real,agari,score
35.000000,0.239500,0.098500,27000,35.000000,0.241000,0.110000,67000,35.000000,0.233000,0.099500,-103700,35.000000,0.233500,0.096500,9700
30.000000,0.200000,0.091500,309650,30.000000,0.225000,0.110000,179350,30.000000,0.204500,0.081500,-380550,30.000000,0.201000,0.079500,-108450
30.000000,0.219500,0.106500,668400,35.000000,0.261000,0.105000,-7100,30.000000,0.208500,0.089500,-322000,35.000000,0.234000,0.089000,-339300
35.000000,0.244500,0.109000,359200,30.000000,0.222000,0.101000,80800,35.000000,0.243000,0.092000,-125500,30.000000,0.204000,0.076000,-314500
25.000000,0.178000,0.097000,362650,25.000000,0.189500,0.102500,127250,25.000000,0.164000,0.076000,-220050,25.000000,0.166000,0.077500,-269850
25.000000,0.172000,0.094500,375850,30.000000,0.248000,0.105500,23550,25.000000,0.169000,0.070500,-302150,30.000000,0.204000,0.084500,-97250
30.000000,0.203000,0.101500,421400,25.000000,0.191500,0.091000,119200,30.000000,0.199000,0.090000,-176600,25.000000,0.184500,0.074500,-364000
25.000000,0.167500,0.105500,597950,35.000000,0.255500,0.099000,-128250,25.000000,0.184500,0.085500,-232950,35.000000,0.250000,0.100500,-236750
35.000000,0.229000,0.114500,437100,25.000000,0.182000,0.088500,-60900,35.000000,0.232000,0.096000,-139800,25.000000,0.172000,0.084500,-236400
20.000000,0.142500,0.081500,189750,20.000000,0.170500,0.094000,109750,20.000000,0.145500,0.071000,-103950,20.000000,0.142000,0.072000,-195550
20.000000,0.149000,0.085000,490500,25.000000,0.200500,0.097000,-32700,20.000000,0.146000,0.064000,-362000,25.000000,0.165000,0.073500,-95800
25.000000,0.173500,0.101000,520400,20.000000,0.151000,0.080000,-110200,25.000000,0.164000,0.070000,-247500,20.000000,0.149500,0.073500,-162700
20.000000,0.150000,0.097000,315200,30.000000,0.209000,0.101500,-16200,20.000000,0.148000,0.073500,-253300,30.000000,0.208000,0.091000,-45700
30.000000,0.208000,0.096500,215250,20.000000,0.168500,0.083000,157750,30.000000,0.201500,0.093500,-78950,20.000000,0.155500,0.065000,-294050
20.000000,0.149000,0.086500,332150,35.000000,0.255000,0.106500,-1950,20.000000,0.158500,0.071500,-199250,35.000000,0.236500,0.098500,-130950
35.000000,0.237500,0.111000,420050,20.000000,0.162500,0.080000,-127250,35.000000,0.223500,0.089000,-195550,20.000000,0.166500,0.074000,-97250
15.000000,0.114500,0.084500,280350,15.000000,0.132000,0.084500,19250,15.000000,0.119000,0.060500,-183550,15.000000,0.113500,0.073500,-116050
15.000000,0.131000,0.081500,209050,20.000000,0.164500,0.093000,125250,15.000000,0.111000,0.061500,-332950,20.000000,0.153500,0.076000,-1350
20.000000,0.155000,0.093000,405850,15.000000,0.116000,0.087000,159450,20.000000,0.138000,0.071000,-250250,15.000000,0.123000,0.064500,-315050
15.000000,0.127500,0.072500,20400,25.000000,0.181000,0.098500,208500,15.000000,0.120000,0.065500,-115900,25.000000,0.187000,0.080500,-113000
25.000000,0.179000,0.092500,497500,15.000000,0.130500,0.080000,111500,25.000000,0.163500,0.067500,-267800,15.000000,0.104500,0.058500,-341200
15.000000,0.125500,0.076000,263050,30.000000,0.220000,0.104000,43550,15.000000,0.122500,0.062500,-255050,30.000000,0.199500,0.092500,-51550
30.000000,0.208500,0.101500,605450,15.000000,0.129500,0.075500,-24650,30.000000,0.210000,0.086000,-308850,15.000000,0.113000,0.060500,-271950
15.000000,0.127000,0.076000,239750,35.000000,0.243000,0.113500,100250,15.000000,0.119000,0.060000,-316750,35.000000,0.250000,0.097000,-23250
35.000000,0.231500,0.111000,320900,15.000000,0.122500,0.069000,-36100,35.000000,0.222000,0.085500,-270100,15.000000,0.118500,0.072000,-14700
10.000000,0.101000,0.079000,316300,15.000000,0.114500,0.066500,104500,10.000000,0.079000,0.062000,-182000,15.000000,0.120500,0.069000,-238800
15.000000,0.124500,0.084000,504700,10.000000,0.088000,0.079000,191800,15.000000,0.126500,0.061500,-254200,10.000000,0.074000,0.048500,-442300
10.000000,0.097500,0.082000,376250,20.000000,0.149500,0.079500,-38250,10.000000,0.084000,0.062500,-266450,20.000000,0.141500,0.072500,-71550
20.000000,0.142500,0.094500,519850,10.000000,0.079500,0.077000,4750,20.000000,0.140000,0.071500,-243850,10.000000,0.077000,0.057000,-280750
10.000000,0.104500,0.082500,289000,25.000000,0.188500,0.099000,257900,10.000000,0.066000,0.059000,-316800,25.000000,0.168000,0.067000,-230100
25.000000,0.185500,0.096500,345050,10.000000,0.084500,0.081500,68350,25.000000,0.178000,0.083500,-117350,10.000000,0.089500,0.063500,-296050
10.000000,0.101500,0.078500,160700,30.000000,0.223500,0.119000,309900,10.000000,0.087000,0.060000,-326100,30.000000,0.178000,0.079500,-144500
30.000000,0.176000,0.096500,404300,10.000000,0.091000,0.085000,17400,30.000000,0.189000,0.088000,-99600,10.000000,0.066000,0.055000,-322100
10.000000,0.095500,0.072500,90450,35.000000,0.246000,0.125500,121850,10.000000,0.086500,0.068000,-133450,35.000000,0.227000,0.099000,-78850
35.000000,0.234000,0.101500,356050,10.000000,0.097000,0.082500,12150,35.000000,0.230000,0.099500,4350,10.000000,0.083000,0.043000,-372550
